,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,13,GPS_L1,1280526308357280568,13485496.833,-8822650.614,20973141.124,397.296,2662.578,869.696,9768.117,0.001,23978498.143,3.598,0.0,5.417,9.072,23988251.770999998,G13,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
1,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,15,GPS_L1,1280526308364443035,6889535.149,-18529633.164,17238021.437,1026.414,2048.426,1796.322,-63869.178,-0.0,21831244.556,3.897,0.0,3.821,4.038,21767367.519000005,G15,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
2,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,21,GPS_L1,1280526308360634482,-19091317.592,987120.158,19085776.897,1411.942,-1795.966,1597.565,9433.775,0.003,22973020.021,2.398,0.0,4.234,4.59,22982444.972,G21,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
3,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,29,GPS_L1,1280526308360932145,-3127382.864,-26251481.543,-2363622.47,254.119,253.282,-3213.449,-49423.54,-0.003,22883782.899,7.195,0.0,4.999,5.181,22834349.178999998,G29,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
4,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,27,GPS_L1,1280526308359081670,-13748958.262,5657378.635,21844166.343,-723.204,-2711.505,277.758,-108626.634,-0.003,23438541.347,1.799,0.0,5.037,6.567,23329903.108999997,G27,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
5,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,10,GPS_L1,1280526308364394471,-22746326.081,-11800859.944,7541366.574,965.034,36.522,2978.875,-125285.305,-0.003,21845803.677,1.499,0.0,3.565,3.49,21720511.317,G10,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
6,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,16,GPS_L1,1280526308359805891,-21761410.345,2562296.597,15105213.856,-1756.216,-825.992,-2313.121,-57292.866,-0.001,23221425.354,3.298,0.0,4.916,5.668,23164121.903999995,G16,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
7,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,20,GPS_L1,1280526308369958419,-14267182.595,-14673382.079,16972300.353,2177.082,98.256,1882.782,158037.731,0.0,20177774.03,2.099,0.0,2.673,2.598,20335806.49,G20,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
8,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,18,GPS_L1,1280526308368498585,-3044372.02,-16570086.344,20511285.474,1977.247,-1702.195,-1084.354,78511.939,0.003,20615421.253,2.998,0.0,2.816,2.832,20693927.544,G18,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
9,2020-08-03-US-MTV-1,Pixel4,1280526308437,1,26,GPS_L1,1280526308359112981,-26170603.172,-4522914.216,2559073.994,-244.721,-376.464,-3105.49,76458.691,0.002,23429154.546,2.698,0.0,5.58,6.37,23505601.287,G26,1280526309437,-2702199.267699279,-4285948.96370777,3861163.8694631583,-101.94643696988908
0,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,13,GPS_L1,1280526309357279229,13485894.213,-8819987.997,20974010.593,397.465,2662.663,869.244,9768.117,0.001,23978899.565,4.197,0.0,5.418,9.074,23988653.189999998,G13,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
1,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,15,GPS_L1,1280526309364442266,6890561.655,-18527584.658,17239817.567,1026.597,2048.587,1795.941,-63869.178,-0.0,21831475.096,3.897,0.0,3.821,4.038,21767598.059000004,G15,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
2,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,21,GPS_L1,1280526309360635780,-19089905.637,985324.079,19087374.271,1411.964,-1796.187,1597.179,9433.778,0.003,22972630.89,2.099,0.0,4.233,4.589,22982055.846,G21,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
3,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,29,GPS_L1,1280526309360929997,-3127128.702,-26251228.069,-2366835.887,254.206,253.665,-3213.398,-49423.542,-0.003,22884426.853,5.696,0.0,5.0,5.182,22834993.129,G29,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
4,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,27,GPS_L1,1280526309359083774,-13749681.554,5654667.132,21844443.865,-723.376,-2711.491,277.286,-108626.638,-0.003,23437910.584,1.799,0.0,5.036,6.565,23329272.345,G27,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
5,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,10,GPS_L1,1280526309364395864,-22745360.864,-11800823.401,7544345.374,965.395,36.565,2978.717,-125285.308,-0.003,21845386.066,1.499,0.0,3.565,3.489,21720093.704,G10,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
6,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,16,GPS_L1,1280526309359805756,-21763166.449,2561470.714,15102900.575,-1755.992,-825.776,-2313.44,-57292.867,-0.001,23221465.826,3.298,0.0,4.916,5.668,23164162.375,G16,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
7,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,20,GPS_L1,1280526309369958694,-14265005.391,-14673283.866,16974182.955,2177.323,98.171,1882.422,158037.731,0.0,20177691.587,2.099,0.0,2.673,2.598,20335724.047,G20,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
8,2020-08-03-US-MTV-1,Pixel4,1280526309437,1,18,GPS_L1,1280526309368498239,-3042394.874,-16571788.551,20510200.901,1977.048,-1702.218,-1084.791,78511.941,0.003,20615524.981,2.998,0.0,2.816,2.832,20694031.274,G18,1280526310437,-2702222.9745748,-4285925.734401836,3861173.0016021156,-103.08982800230116
