,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,17,GPS_L1,1303161815366137325,14500721.191,-13244179.712,18307679.079,2235.734,-43.962,-1845.911,129135.322,0.003,24040207.282,3.897,0.0,7.69,7.813,24169327.101,G17,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
1,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,19,GPS_L1,1303161815373577548,5661789.337,-14389692.41,21292613.569,2767.921,-7.073,-741.386,-2829.983,0.001,21809684.54,2.698,0.0,5.281,3.886,21806845.39,G19,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
2,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,2,GPS_L1,1303161815376185407,-12408236.988,-22290608.069,7948994.482,798.468,524.687,2967.712,-179289.057,-0.0,21027868.081,5.096,0.0,4.142,2.76,20848572.121999998,G2,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
3,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,6,GPS_L1,1303161815377081664,-1836268.43,-20650603.935,16628963.253,1382.975,1582.725,2131.702,2794.238,0.001,20759176.992,2.698,0.0,4.073,2.791,20761964.366,G6,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
4,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,12,GPS_L1,1303161815375135488,-14417212.912,-4105244.48,21662040.109,1230.864,-2524.955,350.935,-9397.098,-0.002,21342625.878,1.799,0.0,4.75,3.386,21333220.643999998,G12,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
5,2021-04-22-US-SJC-1,Pixel4,1303161815446,1,28,GPS_L1,1303161815365300301,11671807.229,-23967570.213,1363471.979,248.23,11.926,-3183.346,174696.739,-0.001,24291140.764,10.493,0.0,9.655,10.364,24465817.483999997,G28,1303161816446,-2682526.487843856,-4311111.111755715,3846978.019239004,-376.76008753044954
0,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,17,GPS_L1,1303161816366135694,14502956.807,-13244223.736,18305832.983,2235.506,-44.086,-1846.288,129135.325,0.003,24040696.243,2.998,0.0,7.691,7.815,24169816.062,G17,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
1,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,19,GPS_L1,1303161816373575990,5664557.206,-14389699.566,21291871.95,2767.826,-7.238,-741.852,-2829.983,0.001,21810151.617,2.099,0.0,5.282,3.887,21807312.465,G19,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
2,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,25,GPS_L1,1303161816364953753,-17159665.896,10250627.834,17087277.002,672.86,-2137.159,1954.703,37061.094,0.001,24395033.241,20.985,0.0,9.057,13.654,24432071.624,G25,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
3,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,2,GPS_L1,1303161816376186203,-12407438.384,-22290083.266,7951962.113,798.738,524.918,2967.546,-179289.057,-0.0,21027629.446,4.797,0.0,4.141,2.76,20848333.487999998,G2,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
4,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,6,GPS_L1,1303161816377081276,-1834885.325,-20649021.147,16631094.777,1383.235,1582.852,2131.349,2794.239,0.001,20759293.311,3.298,0.0,4.074,2.791,20762080.685,G6,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
5,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,12,GPS_L1,1303161816375136867,-14415982.112,-4107769.494,21662390.808,1230.734,-2525.067,350.463,-9397.101,-0.002,21342212.465,1.499,0.0,4.75,3.386,21332807.228,G12,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
6,2021-04-22-US-SJC-1,Pixel4,1303161816446,1,28,GPS_L1,1303161816365298819,11672055.368,-23967558.118,1360288.623,248.049,12.265,-3183.375,174696.737,-0.001,24291585.056,18.287,0.0,9.656,10.368,24466261.769,G28,1303161817446,-2682527.294855698,-4311107.657434711,3846981.305433787,-379.23784124826585
0,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,17,GPS_L1,1303161817366134019,14505192.195,-13244267.884,18303986.509,2235.278,-44.209,-1846.665,129135.328,0.003,24041198.396,3.298,0.0,7.692,7.818,24170318.214,G17,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
1,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,19,GPS_L1,1303161817373574393,5667324.98,-14389706.887,21291129.866,2767.731,-7.404,-742.318,-2829.982,0.001,21810630.386,4.797,0.0,5.282,3.887,21807791.235,G19,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
2,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,2,GPS_L1,1303161817376187021,-12406639.51,-22289558.232,7954929.579,799.007,525.149,2967.38,-179289.057,-0.0,21027384.216,4.797,0.0,4.141,2.76,20848088.257999998,G2,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
3,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,6,GPS_L1,1303161817377080905,-1833501.96,-20647438.232,16633225.948,1383.495,1582.979,2130.996,2794.24,0.001,20759404.534,2.698,0.0,4.074,2.791,20762191.908999998,G6,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
4,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,12,GPS_L1,1303161817375138252,-14414751.442,-4110294.621,21662741.035,1230.603,-2525.179,349.991,-9397.103,-0.002,21341797.252,2.099,0.0,4.749,3.385,21332392.014999997,G12,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
5,2021-04-22-US-SJC-1,Pixel4,1303161817446,1,28,GPS_L1,1303161817365297220,11672303.327,-23967545.683,1357105.239,247.868,12.604,-3183.403,174696.736,-0.001,24292064.425,18.287,0.0,9.658,10.372,24466741.131,G28,1303161818446,-2682528.340999429,-4311103.211203822,3846985.5960833854,-385.4020520522235
0,2021-04-22-US-SJC-1,Pixel4,1303161818446,1,2,GPS_L1,1303161818376187821,-12405840.367,-22289032.967,7957896.878,799.277,525.379,2967.214,-179289.058,-0.0,21027144.382,3.598,0.0,4.141,2.76,20847848.423,G2,1303161819446,-2682529.4461170817,-4311097.901834035,3846990.6088031325,-386.8960137204015
1,2021-04-22-US-SJC-1,Pixel4,1303161818446,1,6,GPS_L1,1303161818377080533,-1832118.335,-20645855.19,16635356.766,1383.755,1583.106,2130.643,2794.24,0.001,20759516.057,3.897,0.0,4.074,2.791,20762303.431999996,G6,1303161819446,-2682529.4461170817,-4311097.901834035,3846990.6088031325,-386.8960137204015
2,2021-04-22-US-SJC-1,Pixel4,1303161818446,1,12,GPS_L1,1303161818375139648,-14413520.904,-4112819.86,21663090.79,1230.472,-2525.29,349.519,-9397.105,-0.002,21341378.742,2.398,0.0,4.749,3.385,21331973.502999995,G12,1303161819446,-2682529.4461170817,-4311097.901834035,3846990.6088031325,-386.8960137204015
3,2021-04-22-US-SJC-1,Pixel4,1303161818446,1,19,GPS_L1,1303161818373572675,5670092.659,-14389714.374,21290387.316,2767.636,-7.569,-742.783,-2829.981,0.001,21811145.429,13.79,0.0,5.283,3.888,21808306.277000003,G19,1303161819446,-2682529.4461170817,-4311097.901834035,3846990.6088031325,-386.8960137204015
4,2021-04-22-US-SJC-1,Pixel4,1303161818446,1,25,GPS_L1,1303161818364958128,-17158320.226,10246352.971,17091185.667,672.807,-2137.695,1953.954,37061.096,0.001,24393721.649,18.287,0.0,9.055,13.639,24430760.051000003,G25,1303161819446,-2682529.4461170817,-4311097.901834035,3846990.6088031325,-386.8960137204015
0,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,17,GPS_L1,1303161819366130486,14509662.287,-13244356.55,18300292.431,2234.822,-44.457,-1847.419,129135.334,0.003,24042257.562,18.287,0.0,7.693,7.822,24171377.380999997,G17,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
1,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,19,GPS_L1,1303161819373571182,5672860.244,-14389722.027,21289644.301,2767.541,-7.734,-743.249,-2829.981,0.001,21811593.019,7.195,0.0,5.283,3.888,21808753.867000002,G19,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
2,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,25,GPS_L1,1303161819364960272,-17157647.431,10244215.137,17093139.438,672.78,-2137.963,1953.579,37061.098,0.001,24393078.894,10.493,0.0,9.054,13.631,24430117.307,G25,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
3,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,2,GPS_L1,1303161819376188609,-12405040.954,-22288507.472,7960864.01,799.547,525.61,2967.047,-179289.058,-0.0,21026908.145,5.696,0.0,4.141,2.759,20847612.187000003,G2,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
4,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,6,GPS_L1,1303161819377079948,-1830734.45,-20644272.022,16637487.231,1384.015,1583.232,2130.289,2794.241,0.001,20759691.436,18.287,0.0,4.074,2.791,20762478.812,G6,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
5,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,12,GPS_L1,1303161819375141025,-14412290.496,-4115345.21,21663440.072,1230.341,-2525.402,349.046,-9397.108,-0.002,21340965.928,1.799,0.0,4.749,3.385,21331560.685999997,G12,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
6,2021-04-22-US-SJC-1,Pixel4,1303161819446,1,28,GPS_L1,1303161819365294211,11672798.701,-23967519.798,1350738.385,247.507,13.281,-3183.46,174696.733,-0.001,24292966.5,18.287,0.0,9.66,10.38,24467643.193,G28,1303161820446,-2682530.7598749585,-4311091.770900823,3846996.391509084,-371.05792418916235
0,2021-04-22-US-SJC-1,Pixel4,1303161820446,1,17,GPS_L1,1303161820366129040,14511896.992,-13244401.068,18298444.826,2234.594,-44.58,-1847.796,129135.337,0.003,24042691.062,2.998,0.0,7.694,7.824,24171810.881,G17,1303161821446,-2682532.2720286734,-4311085.180353559,3847002.597858017,-377.1320754504671
1,2021-04-22-US-SJC-1,Pixel4,1303161820446,1,19,GPS_L1,1303161820373569783,5675627.733,-14389729.845,21288900.819,2767.446,-7.9,-743.715,-2829.98,0.001,21812012.429,2.099,0.0,5.284,3.889,21809173.276,G19,1303161821446,-2682532.2720286734,-4311085.180353559,3847002.597858017,-377.1320754504671
2,2021-04-22-US-SJC-1,Pixel4,1303161820446,1,25,GPS_L1,1303161820364962269,-17156974.664,10242077.036,17095092.833,672.753,-2138.231,1953.204,37061.099,0.001,24392480.208,10.493,0.0,9.053,13.624,24429518.63,G25,1303161821446,-2682532.2720286734,-4311085.180353559,3847002.597858017,-377.1320754504671
