collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-22-US-SJC-1,Pixel4,1303161735446,37.3296852545,-121.8869170722,60.28,1485.45,177.64,0.0,10.28,224.8
2021-04-22-US-SJC-1,Pixel4,1303161736446,37.3297537398,-121.8870022075,60.24,1486.45,360.04,0.0,10.98,224.9
2021-04-22-US-SJC-1,Pixel4,1303161737446,37.3298256265,-121.8870917729,60.19,1487.45,200.29,0.0,11.44,225.3
2021-04-22-US-SJC-1,Pixel4,1303161738446,37.3299005317,-121.8871846457,60.15,1488.45,0.0,0.0,11.83,225.6
2021-04-22-US-SJC-1,Pixel4,1303161739446,37.329976939,-121.8872786654,60.09,1489.45,0.0,0.0,11.88,225.7
2021-04-22-US-SJC-1,Pixel4,1303161740446,37.3300530409,-121.8873720743,60.06,1490.45,0.0,0.0,11.78,225.55
2021-04-22-US-SJC-1,Pixel4,1303161741446,37.3301278785,-121.8874650405,60.07,1491.45,0.0,0.0,11.68,225.25
2021-04-22-US-SJC-1,Pixel4,1303161742446,37.3302032343,-121.8875589343,60.05,1492.45,0.0,0.0,11.96,225.45
2021-04-22-US-SJC-1,Pixel4,1303161743446,37.3302816712,-121.8876546116,60.0,1493.45,0.0,0.0,12.3,225.9
2021-04-22-US-SJC-1,Pixel4,1303161744446,37.3303613181,-121.8877511644,60.05,1494.45,0.0,0.0,12.22,226.2
2021-04-22-US-SJC-1,Pixel4,1303161745446,37.3304397585,-121.8878460301,60.01,1495.45,0.0,0.0,11.94,226.5
2021-04-22-US-SJC-1,Pixel4,1303161746446,37.33051524,-121.8879366814,59.91,1496.45,0.0,0.0,11.14,226.3
2021-04-22-US-SJC-1,Pixel4,1303161747446,37.3305829092,-121.8880181674,59.87,1497.45,0.0,0.0,9.58,226.55
2021-04-22-US-SJC-1,Pixel4,1303161748446,37.3306393394,-121.8880845712,59.87,1498.45,0.0,0.0,7.36,228.09
2021-04-22-US-SJC-1,Pixel4,1303161749446,37.3306828017,-121.8881325923,59.84,1499.45,0.0,0.0,5.74,230.44
2021-04-22-US-SJC-1,Pixel4,1303161750446,37.3307239475,-121.8881732893,59.8,1500.45,0.0,0.0,5.53,235.72
2021-04-22-US-SJC-1,Pixel4,1303161751446,37.3307732279,-121.8882113059,59.77,1501.45,0.0,0.0,6.76,243.12
2021-04-22-US-SJC-1,Pixel4,1303161752446,37.3308369285,-121.8882478125,59.74,1502.45,0.0,0.0,8.4,247.85
2021-04-22-US-SJC-1,Pixel4,1303161753446,37.3309128411,-121.8882869198,59.78,1503.45,0.0,0.0,9.85,247.01
2021-04-22-US-SJC-1,Pixel4,1303161754446,37.3309996524,-121.8883349256,59.81,1504.45,0.0,0.0,11.39,245.11
2021-04-22-US-SJC-1,Pixel4,1303161755446,37.3310980983,-121.88839446,59.47,1505.45,0.0,0.0,13.09,242.91
2021-04-22-US-SJC-1,Pixel4,1303161756446,37.331207458,-121.8884664071,59.33,1506.45,2.43,0.0,14.4,241.35
2021-04-22-US-SJC-1,Pixel4,1303161757446,37.3313255926,-121.8885476956,59.27,1507.45,5.5,0.0,15.53,240.6
2021-04-22-US-SJC-1,Pixel4,1303161758446,37.3314510355,-121.8886345836,59.2,1508.45,5.5,0.0,16.07,240.3
2021-04-22-US-SJC-1,Pixel4,1303161759446,37.3315776684,-121.8887251333,59.09,1509.45,16.0,0.0,16.26,240.2
2021-04-22-US-SJC-1,Pixel4,1303161760446,37.331704017,-121.8888168851,59.06,1510.45,59.97,0.0,16.15,239.55
2021-04-22-US-SJC-1,Pixel4,1303161761446,37.3318282141,-121.8889090828,59.0,1511.45,54.55,0.0,15.9,239.2
2021-04-22-US-SJC-1,Pixel4,1303161762446,37.3319501014,-121.8890001979,58.94,1512.45,0.0,0.0,15.62,239.3
2021-04-22-US-SJC-1,Pixel4,1303161763446,37.3320698546,-121.8890896751,58.88,1513.45,0.0,0.0,15.33,239.4
