collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,15,GAL_E1,1303676837358809954,1049844.221,-20118899.624,21687253.352,1380.147,1686.998,1499.439,244948.406,-0.001,23881796.016,3.897,-218.290,4.126,3.004
2021-04-28-US-SJC-1,Pixel4,1303676838438,3,16,GLO_G1,1303676837365005153,850570.617,-25553617.535,-745814.745,-144.376,95.512,-3544.217,-4316.486,0.000,22024522.080,8.094,1142.738,6.877,5.402
2021-04-28-US-SJC-1,Pixel4,1303676838438,5,6,BDS_B1I,1303676837301905541,-15220076.736,20895672.096,33707191.318,-1230.464,-93.098,-529.320,98068.697,0.013,40941309.860,18.287,-456.788,8.207,15.328
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,21,GAL_E1,1303676837355926699,-15892620.000,-4631011.233,24534093.579,818.305,-2323.068,91.803,-198442.716,-0.001,24746174.120,5.096,-218.290,4.430,3.325
2021-04-28-US-SJC-1,Pixel4,1303676838438,5,37,BDS_B1I,1303676837361752091,-6985419.539,-26610473.252,4742519.055,79.887,-555.879,-3009.297,-271353.080,0.003,22999765.533,3.897,-456.788,4.722,3.239
2021-04-28-US-SJC-1,Pixel4,1303676838438,3,20,GLO_G1,1303676837372726129,-17292954.618,-16636840.435,8584753.799,833.446,866.054,3362.991,-14438.367,-0.000,19709831.707,7.195,1142.738,3.865,2.820
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,17,GPS_L1,1303676837361415071,9978526.403,-13399617.428,21073633.222,2561.969,243.632,-1080.104,130091.395,0.003,23100801.587,6.296,0.000,6.101,5.099
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,24,GPS_L5,1303676837368658506,-19694208.889,-11106672.555,13998792.984,-786.018,-1649.838,-2333.960,12832.876,0.008,20929274.404,1.499,-2349.306,7.246,2.905
2021-04-28-US-SJC-1,Pixel4,1303676838438,3,9,GLO_G1,1303676837374243341,-6780011.290,-19389170.887,15091580.049,-13.486,-2066.709,-2670.204,-2923.427,0.001,19254982.992,2.698,1142.738,3.525,2.552
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,27,GAL_E1,1303676837359828407,-4532500.634,-23241651.080,17766518.110,519.261,-1707.114,-2099.814,-6320.954,-0.002,23576471.488,4.197,-218.290,3.752,2.659
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,19,GPS_L1,1303676837368438287,338575.388,-14685893.520,21845198.240,2818.967,319.266,158.276,-2055.799,0.001,20995294.400,2.998,0.000,4.232,3.127
2021-04-28-US-SJC-1,Pixel4,1303676838438,5,27,BDS_B1I,1303676837367164420,-13402461.038,-18066422.789,16479448.582,1767.230,665.871,2166.298,156797.838,0.002,21377190.119,2.698,-456.788,3.645,2.492
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,2,GPS_L1,1303676837366180391,-13463680.347,-22817853.108,2069283.473,331.344,0.885,3170.029,-179803.968,-0.001,21672194.591,18.287,0.000,4.797,3.343
2021-04-28-US-SJC-1,Pixel4,1303676838438,5,28,BDS_B1I,1303676837359838722,6691728.720,-14377395.955,22961443.539,2412.625,1028.983,-58.886,-24205.469,0.001,23573379.129,3.897,-456.788,5.313,4.037
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,6,GPS_L1,1303676837369240544,-4070146.291,-23388307.079,11910114.691,891.590,1221.126,2722.038,3283.641,0.001,20754783.802,2.998,0.000,3.976,2.807
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,12,GPS_L1,1303676837364393567,-16982109.435,518179.347,20122752.914,1398.270,-2209.105,1235.635,-10186.162,-0.002,22207870.950,2.998,0.000,5.472,4.356
2021-04-28-US-SJC-1,Pixel4,1303676838438,3,19,GLO_G1,1303676837370968979,-826150.453,-12545413.127,22190661.974,2459.721,1796.688,1107.340,-42455.319,-0.000,20236612.024,5.696,1142.738,4.089,3.149
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,14,GPS_L1,1303676837357409760,12689077.802,-23142474.593,2853808.093,444.311,-145.074,-3141.715,27588.526,-0.001,24301563.617,10.493,0.000,9.399,10.466
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,14,GPS_L5,1303676837357417662,12689077.811,-23142474.601,2853808.068,444.311,-145.074,-3141.714,27590.408,-0.001,24299194.657,4.197,-2349.306,16.855,10.466
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,24,GPS_L1,1303676837368650699,-19694208.883,-11106672.543,13998793.002,-786.018,-1649.838,-2333.960,12833.541,0.008,20931614.884,2.099,0.000,4.041,2.905
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,27,GAL_E5A,1303676837359835489,-4532500.630,-23241651.092,17766518.095,519.261,-1707.114,-2099.814,-6321.473,-0.002,23574348.358,1.199,-2349.962,6.728,2.659
2021-04-28-US-SJC-1,Pixel4,1303676838438,5,16,BDS_B1I,1303676837300654490,-11420180.016,21741792.696,34374912.955,-1287.378,-198.864,-313.597,-242293.970,-0.006,41316365.515,3.598,-456.788,8.277,20.487
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,30,GAL_E1,1303676837351086917,10125564.471,-27821925.579,-301551.278,-106.755,-7.254,-3038.131,895734.798,-0.009,26197104.262,13.790,-218.290,8.822,8.327
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,28,GPS_L1,1303676837360621276,10365839.973,-23451877.650,7871682.612,701.932,-626.234,-2980.673,173781.222,-0.001,23338775.341,6.296,0.000,7.158,5.873
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,15,GAL_E5A,1303676837358817049,1049844.228,-20118899.611,21687253.365,1380.147,1686.997,1499.439,244947.045,-0.001,23879668.989,0.899,-2349.962,7.399,3.004
2021-04-28-US-SJC-1,Pixel4,1303676838438,1,6,GPS_L5,1303676837369248356,-4070146.284,-23388307.069,11910114.713,891.590,1221.126,2722.038,3282.644,0.001,20752441.823,1.199,-2349.306,7.129,2.807
2021-04-28-US-SJC-1,Pixel4,1303676838438,6,21,GAL_E5A,1303676837355933817,-15892619.998,-4631011.251,24534093.577,818.305,-2323.068,91.803,-198443.270,-0.001,24744040.197,0.899,-2349.962,7.945,3.325
2021-04-28-US-SJC-1,Pixel4,1303676839438,6,13,GAL_E1,1303676838359098341,-15554196.279,-24268647.441,6703436.537,329.142,607.360,2964.674,124614.563,0.000,23795339.768,23.983,-222.992,4.119,2.879
2021-04-28-US-SJC-1,Pixel4,1303676839438,6,15,GAL_E1,1303676838358809240,1051224.485,-20117212.627,21688752.624,1380.382,1686.998,1499.106,244948.405,-0.001,23882010.068,3.298,-222.992,4.126,3.004
2021-04-28-US-SJC-1,Pixel4,1303676839438,3,16,GLO_G1,1303676838365003064,850426.241,-25553521.775,-749358.946,-144.378,96.006,-3544.199,-4316.486,0.000,22025148.346,9.294,1145.044,6.879,5.403
2021-04-28-US-SJC-1,Pixel4,1303676839438,5,6,BDS_B1I,1303676838301905707,-15221307.208,20895579.089,33706661.911,-1230.480,-92.916,-529.495,98068.710,0.013,40941260.095,10.493,-455.799,8.207,15.327
2021-04-28-US-SJC-1,Pixel4,1303676839438,6,21,GAL_E1,1303676838355927855,-15891801.784,-4633334.340,24534185.193,818.126,-2323.140,91.426,-198442.717,-0.001,24745827.559,3.897,-222.992,4.430,3.324
2021-04-28-US-SJC-1,Pixel4,1303676839438,5,37,BDS_B1I,1303676838361750701,-6985339.647,-26611028.962,4739509.718,79.897,-555.544,-3009.384,-271353.077,0.003,23000182.245,5.096,-455.799,4.722,3.239
2021-04-28-US-SJC-1,Pixel4,1303676839438,3,20,GLO_G1,1303676838372727231,-17292120.945,-16635974.285,8588116.690,833.897,866.245,3362.784,-14438.367,-0.000,19709501.336,7.195,1145.044,3.865,2.819
