collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-28-US-SJC-1,Pixel4,1303676838438,37.3353912508,-121.8871992640,56.90,2011.44,24.91,0.00,5.53,310.00
2021-04-28-US-SJC-1,Pixel4,1303676839438,37.3354379435,-121.8872421533,56.81,2012.44,33.42,0.00,7.33,325.80
2021-04-28-US-SJC-1,Pixel4,1303676840438,37.3355025111,-121.8872879009,56.80,2013.44,17.98,0.00,9.01,331.04
2021-04-28-US-SJC-1,Pixel4,1303676841438,37.3355801232,-121.8873409962,56.79,2014.44,0.00,0.00,10.66,331.20
2021-04-28-US-SJC-1,Pixel4,1303676842438,37.3356696246,-121.8874038752,56.75,2015.44,0.00,0.00,12.10,330.36
2021-04-28-US-SJC-1,Pixel4,1303676843438,37.3357698486,-121.8874771157,56.73,2016.44,0.00,0.00,13.59,329.36
2021-04-28-US-SJC-1,Pixel4,1303676844438,37.3358799458,-121.8875590579,56.72,2017.44,0.00,0.00,14.80,329.44
2021-04-28-US-SJC-1,Pixel4,1303676845438,37.3359979493,-121.8876459189,56.66,2018.44,0.00,0.00,15.38,329.64
2021-04-28-US-SJC-1,Pixel4,1303676846438,37.3361176360,-121.8877322695,56.65,2019.44,0.00,0.00,15.23,330.30
2021-04-28-US-SJC-1,Pixel4,1303676847438,37.3362358365,-121.8878167079,56.64,2020.44,0.00,0.00,14.95,330.20
2021-04-28-US-SJC-1,Pixel4,1303676848438,37.3363506088,-121.8878998918,56.63,2021.44,0.00,0.00,14.44,329.46
2021-04-28-US-SJC-1,Pixel4,1303676849438,37.3364594567,-121.8879822092,56.59,2022.44,0.00,0.00,13.77,328.56
2021-04-28-US-SJC-1,Pixel4,1303676850438,37.3365620732,-121.8880621582,56.52,2023.44,0.00,0.00,13.05,327.86
2021-04-28-US-SJC-1,Pixel4,1303676851438,37.3366577782,-121.8881387297,56.48,2024.44,0.00,0.00,12.15,327.26
2021-04-28-US-SJC-1,Pixel4,1303676852438,37.3367453029,-121.8882110772,56.42,2025.44,0.00,0.00,10.95,326.60
2021-04-28-US-SJC-1,Pixel4,1303676853438,37.3368206841,-121.8882720096,56.37,2026.44,0.00,0.00,9.00,327.84
2021-04-28-US-SJC-1,Pixel4,1303676854438,37.3368841262,-121.8883210427,56.33,2027.44,0.00,0.00,7.61,328.54
2021-04-28-US-SJC-1,Pixel4,1303676855438,37.3369372307,-121.8883620360,56.30,2028.44,0.00,0.00,6.27,328.36
2021-04-28-US-SJC-1,Pixel4,1303676856438,37.3369774416,-121.8883933621,56.26,2029.44,0.00,0.00,4.00,328.20
2021-04-28-US-SJC-1,Pixel4,1303676857438,37.3369987073,-121.8884100171,56.25,2030.44,0.00,0.00,1.84,328.20
2021-04-28-US-SJC-1,Pixel4,1303676858438,37.3370077304,-121.8884171448,56.24,2031.44,0.00,0.00,0.56,328.10
2021-04-28-US-SJC-1,Pixel4,1303676859438,37.3370087548,-121.8884179640,56.24,2032.44,2.77,0.00,0.00,328.10
2021-04-28-US-SJC-1,Pixel4,1303676860438,37.3370087410,-121.8884180169,56.24,2033.44,3.57,0.00,0.00,328.10
2021-04-28-US-SJC-1,Pixel4,1303676861438,37.3370087490,-121.8884180233,56.24,2034.44,0.00,0.00,0.00,328.10
2021-04-28-US-SJC-1,Pixel4,1303676862438,37.3370087417,-121.8884180540,56.24,2035.44,6.67,0.00,0.00,328.10
2021-04-28-US-SJC-1,Pixel4,1303676863438,37.3370087433,-121.8884180673,56.24,2036.44,13.41,0.00,0.00,328.10
