collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-22-US-SJC-1,Pixel4,1303162070446,37.3301317543,-121.886136987,61.03,1820.45,236.35,0.0,11.6,239.15
2021-04-22-US-SJC-1,Pixel4,1303162071446,37.3302200584,-121.8862036791,60.97,1821.45,492.45,0.0,11.29,239.15
2021-04-22-US-SJC-1,Pixel4,1303162072446,37.3303065328,-121.8862683875,60.91,1822.45,493.75,0.0,11.04,239.55
2021-04-22-US-SJC-1,Pixel4,1303162073446,37.3303912588,-121.8863308884,60.84,1823.45,495.15,0.0,10.78,239.8
2021-04-22-US-SJC-1,Pixel4,1303162074446,37.330473996,-121.8863911351,60.85,1824.45,290.05,0.0,10.44,239.95
2021-04-22-US-SJC-1,Pixel4,1303162075446,37.3305542741,-121.886449485,60.85,1825.45,34.4,0.0,10.16,239.85
2021-04-22-US-SJC-1,Pixel4,1303162076446,37.3306315383,-121.8865064077,60.82,1826.45,34.3,0.0,9.8,239.4
2021-04-22-US-SJC-1,Pixel4,1303162077446,37.3307055639,-121.8865615939,60.8,1827.45,34.3,0.0,9.21,239.45
2021-04-22-US-SJC-1,Pixel4,1303162078446,37.3307730552,-121.8866116888,60.74,1828.45,34.3,0.0,8.16,239.5
2021-04-22-US-SJC-1,Pixel4,1303162079446,37.3308323805,-121.8866558206,60.72,1829.45,34.3,0.0,7.26,239.35
2021-04-22-US-SJC-1,Pixel4,1303162080446,37.330883918,-121.8866944957,60.71,1830.45,34.3,0.0,6.0,239.2
2021-04-22-US-SJC-1,Pixel4,1303162081446,37.3309239334,-121.8867247497,60.67,1831.45,34.3,0.0,4.35,239.1
2021-04-22-US-SJC-1,Pixel4,1303162082446,37.3309524626,-121.8867464047,60.66,1832.45,34.3,0.0,3.25,239.1
2021-04-22-US-SJC-1,Pixel4,1303162083446,37.3309746284,-121.8867632999,60.64,1833.45,34.2,0.0,2.55,239.2
2021-04-22-US-SJC-1,Pixel4,1303162084446,37.3309923577,-121.8867766191,60.66,1834.45,34.2,0.0,2.03,239.2
2021-04-22-US-SJC-1,Pixel4,1303162085446,37.3310064681,-121.8867873269,60.66,1835.45,34.2,0.0,1.62,239.2
2021-04-22-US-SJC-1,Pixel4,1303162086446,37.3310198509,-121.8867974921,60.65,1836.45,32.56,0.0,1.9,239.3
2021-04-22-US-SJC-1,Pixel4,1303162087446,37.3310351505,-121.8868090552,60.64,1837.45,32.14,0.0,1.93,239.3
2021-04-22-US-SJC-1,Pixel4,1303162088446,37.3310484499,-121.8868191553,60.63,1838.45,34.2,0.0,1.47,239.35
2021-04-22-US-SJC-1,Pixel4,1303162089446,37.3310576159,-121.8868261762,60.62,1839.45,34.2,0.0,1.05,239.4
2021-04-22-US-SJC-1,Pixel4,1303162090446,37.3310672893,-121.8868335452,60.61,1840.45,34.2,0.0,1.46,239.4
2021-04-22-US-SJC-1,Pixel4,1303162091446,37.3310800807,-121.8868432032,60.6,1841.45,34.2,0.0,1.93,239.4
2021-04-22-US-SJC-1,Pixel4,1303162092446,37.3310991416,-121.8868575143,60.59,1842.45,34.2,0.0,3.16,239.4
2021-04-22-US-SJC-1,Pixel4,1303162093446,37.3311300832,-121.8868803305,60.59,1843.45,34.2,0.0,4.68,239.5
2021-04-22-US-SJC-1,Pixel4,1303162094446,37.3311692273,-121.8869095101,60.53,1844.45,34.2,0.0,5.4,239.4
2021-04-22-US-SJC-1,Pixel4,1303162095446,37.3312141482,-121.8869429552,60.5,1845.45,34.2,0.0,6.22,239.3
2021-04-22-US-SJC-1,Pixel4,1303162096446,37.3312648066,-121.8869808972,60.44,1846.45,34.2,0.0,6.71,239.25
2021-04-22-US-SJC-1,Pixel4,1303162097446,37.3313163552,-121.8870196715,60.38,1847.45,34.2,0.0,6.69,238.31
2021-04-22-US-SJC-1,Pixel4,1303162098446,37.3313657442,-121.8870593749,60.24,1848.45,34.2,0.0,6.51,236.41
2021-04-22-US-SJC-1,Pixel4,1303162099446,37.3314123888,-121.8870998323,60.2,1849.45,34.2,0.0,6.3,234.16
2021-04-22-US-SJC-1,Pixel4,1303162100446,37.3314576147,-121.8871418205,60.19,1850.45,34.2,0.0,6.4,232.8
2021-04-22-US-SJC-1,Pixel4,1303162101446,37.3315047785,-121.8871867819,60.16,1851.45,34.2,0.0,6.76,233.15
2021-04-22-US-SJC-1,Pixel4,1303162102446,37.3315569137,-121.8872347813,60.19,1852.45,34.2,0.0,7.48,234.89
2021-04-22-US-SJC-1,Pixel4,1303162103446,37.3316145898,-121.8872841764,60.12,1853.45,34.75,0.0,7.82,236.35
2021-04-22-US-SJC-1,Pixel4,1303162104446,37.3316729017,-121.8873326922,59.96,1854.45,19.64,0.0,7.54,237.05
2021-04-22-US-SJC-1,Pixel4,1303162105446,37.3317283555,-121.8873775065,59.87,1855.45,0.0,0.0,7.13,237.5
2021-04-22-US-SJC-1,Pixel4,1303162106446,37.3317804466,-121.8874193812,59.86,1856.45,0.0,0.0,6.56,237.5
2021-04-22-US-SJC-1,Pixel4,1303162107446,37.331828384,-121.887457449,59.83,1857.45,0.0,0.0,5.94,238.05
2021-04-22-US-SJC-1,Pixel4,1303162108446,37.3318717252,-121.8874909229,59.81,1858.45,0.0,0.0,5.33,238.8
2021-04-22-US-SJC-1,Pixel4,1303162109446,37.3319123419,-121.8875216643,59.79,1859.45,0.0,0.0,5.2,239.1
2021-04-22-US-SJC-1,Pixel4,1303162110446,37.331952134,-121.8875514432,59.78,1860.45,25.62,0.0,5.09,239.3
2021-04-22-US-SJC-1,Pixel4,1303162111446,37.3319909809,-121.8875805868,59.74,1861.45,57.4,0.0,4.99,239.15
2021-04-22-US-SJC-1,Pixel4,1303162112446,37.3320294956,-121.8876094627,59.72,1862.45,57.4,0.0,5.12,239.1
2021-04-22-US-SJC-1,Pixel4,1303162113446,37.3320713303,-121.8876410956,59.68,1863.45,57.4,0.0,5.79,239.0
2021-04-22-US-SJC-1,Pixel4,1303162114446,37.332118833,-121.8876771525,59.64,1864.45,324.11,0.0,6.45,238.8
2021-04-22-US-SJC-1,Pixel4,1303162115446,37.3321693136,-121.8877157127,59.6,1865.45,363.07,0.0,6.58,238.7
2021-04-22-US-SJC-1,Pixel4,1303162116446,37.332219574,-121.8877541391,59.59,1866.45,0.0,0.0,6.46,238.75
2021-04-22-US-SJC-1,Pixel4,1303162117446,37.3322691041,-121.8877918144,59.53,1867.45,0.0,0.0,6.38,239.1
2021-04-22-US-SJC-1,Pixel4,1303162118446,37.3323183173,-121.8878286004,59.43,1868.45,0.0,0.0,6.33,239.55
2021-04-22-US-SJC-1,Pixel4,1303162119446,37.3323673481,-121.887864537,59.36,1869.45,0.0,0.0,6.22,240.1
2021-04-22-US-SJC-1,Pixel4,1303162120446,37.3324160175,-121.8878995515,59.27,1870.45,0.0,0.0,6.17,240.4
2021-04-22-US-SJC-1,Pixel4,1303162121446,37.3324642749,-121.8879339036,59.18,1871.45,0.0,0.0,6.12,240.45
2021-04-22-US-SJC-1,Pixel4,1303162122446,37.3325117275,-121.887968072,59.11,1872.45,0.0,0.0,6.07,239.7
2021-04-22-US-SJC-1,Pixel4,1303162123446,37.3325585186,-121.8880027281,59.02,1873.45,0.0,0.0,6.02,239.3
2021-04-22-US-SJC-1,Pixel4,1303162124446,37.33260452,-121.8880372953,58.95,1874.45,0.0,0.0,5.92,238.9
2021-04-22-US-SJC-1,Pixel4,1303162125446,37.3326494402,-121.8880716395,58.91,1875.45,0.0,0.0,5.79,238.55
2021-04-22-US-SJC-1,Pixel4,1303162126446,37.3326930679,-121.8881055153,58.89,1876.45,0.0,0.0,5.64,238.3
2021-04-22-US-SJC-1,Pixel4,1303162127446,37.3327356711,-121.8881386506,58.87,1877.45,0.0,0.0,5.48,238.45
2021-04-22-US-SJC-1,Pixel4,1303162128446,37.3327782944,-121.8881714339,58.88,1878.45,0.0,0.0,5.73,238.7
2021-04-22-US-SJC-1,Pixel4,1303162129446,37.3328247612,-121.8882069322,58.86,1879.45,0.0,0.0,6.4,238.95
2021-04-22-US-SJC-1,Pixel4,1303162130446,37.332877635,-121.8882470126,58.91,1880.45,0.0,0.0,7.3,239.1
2021-04-22-US-SJC-1,Pixel4,1303162131446,37.3329378613,-121.8882922375,58.84,1881.45,0.0,0.0,8.13,239.45
2021-04-22-US-SJC-1,Pixel4,1303162132446,37.3330023044,-121.8883397132,58.74,1882.45,0.0,0.0,8.28,240.0
2021-04-22-US-SJC-1,Pixel4,1303162133446,37.3330660912,-121.8883859705,58.7,1883.45,0.0,0.0,8.05,239.95
2021-04-22-US-SJC-1,Pixel4,1303162134446,37.3331275923,-121.8884308037,58.7,1884.45,0.0,0.0,7.69,240.1
2021-04-22-US-SJC-1,Pixel4,1303162135446,37.3331856579,-121.8884727537,58.76,1885.45,0.0,0.0,7.15,240.1
2021-04-22-US-SJC-1,Pixel4,1303162136446,37.3332391559,-121.8885115508,58.78,1886.45,0.0,0.0,6.61,239.8
2021-04-22-US-SJC-1,Pixel4,1303162137446,37.3332889924,-121.888548477,58.81,1887.45,0.0,0.0,6.33,239.4
2021-04-22-US-SJC-1,Pixel4,1303162138446,37.3333377683,-121.8885847481,58.79,1888.45,0.0,0.0,6.22,239.5
2021-04-22-US-SJC-1,Pixel4,1303162139446,37.3333852057,-121.8886198757,58.75,1889.45,0.0,0.0,6.0,239.45
2021-04-22-US-SJC-1,Pixel4,1303162140446,37.3334319366,-121.8886547852,58.73,1890.45,0.0,0.0,6.2,239.15
2021-04-22-US-SJC-1,Pixel4,1303162141446,37.3334810539,-121.8886920839,58.74,1891.45,0.0,0.0,6.56,238.65
2021-04-22-US-SJC-1,Pixel4,1303162142446,37.3335325732,-121.8887316896,58.75,1892.45,0.0,0.0,6.74,238.6
2021-04-22-US-SJC-1,Pixel4,1303162143446,37.3335839402,-121.8887710773,58.75,1893.45,0.0,0.0,6.56,238.8
2021-04-22-US-SJC-1,Pixel4,1303162144446,37.333633678,-121.8888090704,58.74,1894.45,0.0,0.0,6.36,238.8
2021-04-22-US-SJC-1,Pixel4,1303162145446,37.3336820054,-121.8888460301,58.71,1895.45,0.0,0.0,6.2,238.7
2021-04-22-US-SJC-1,Pixel4,1303162146446,37.3337293031,-121.8888822964,58.66,1896.45,0.0,0.0,6.07,238.75
2021-04-22-US-SJC-1,Pixel4,1303162147446,37.3337759386,-121.888917711,58.62,1897.45,0.0,0.0,5.97,239.3
2021-04-22-US-SJC-1,Pixel4,1303162148446,37.3338218379,-121.8889517545,58.59,1898.45,0.0,0.0,5.81,239.9
