collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-22-US-SJC-1,Pixel4,1303160575446,37.3345812000,-121.8994468683,56.91,325.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160576446,37.3345812000,-121.8994468676,56.91,326.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160577446,37.3345812000,-121.8994468676,56.91,327.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160578446,37.3345812000,-121.8994468667,56.91,328.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160579446,37.3345812000,-121.8994468659,56.91,329.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160580446,37.3345812000,-121.8994468659,56.91,330.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160581446,37.3345812008,-121.8994468650,56.91,331.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160582446,37.3345812017,-121.8994468650,56.91,332.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160583446,37.3345812026,-121.8994468650,56.91,333.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160584446,37.3345812033,-121.8994468650,56.91,334.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160585446,37.3345812033,-121.8994468642,56.91,335.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160586446,37.3345812033,-121.8994468633,56.91,336.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160587446,37.3345812033,-121.8994468626,56.91,337.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160588446,37.3345812033,-121.8994468626,56.91,338.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160589446,37.3345812050,-121.8994468617,56.91,339.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160590446,37.3345812050,-121.8994468600,56.91,340.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160591446,37.3345812050,-121.8994468600,56.91,341.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160592446,37.3345812050,-121.8994468592,56.91,342.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160593446,37.3345812050,-121.8994468592,56.91,343.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160594446,37.3345812058,-121.8994468583,56.91,344.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160595446,37.3345812050,-121.8994468583,56.91,345.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160596446,37.3345812067,-121.8994468576,56.91,346.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160597446,37.3345812067,-121.8994468824,56.91,347.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160598446,37.3345812050,-121.8994468840,56.91,348.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160599446,37.3345812067,-121.8994469358,56.92,349.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160600446,37.3345812108,-121.8994469765,56.92,350.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160601446,37.3345812183,-121.8994470240,56.92,351.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160602446,37.3345812308,-121.8994470814,56.92,352.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160603446,37.3345812705,-121.8994472060,56.92,353.45,1.80,0.00,0.00,330.50
2021-04-22-US-SJC-1,Pixel4,1303160604446,37.3345813711,-121.8994473519,56.92,354.45,1.80,0.00,0.08,330.35
2021-04-22-US-SJC-1,Pixel4,1303160605446,37.3345822672,-121.8994453508,56.92,355.45,1.80,0.00,0.59,327.62
2021-04-22-US-SJC-1,Pixel4,1303160606446,37.3345862843,-121.8994379435,56.89,356.45,1.80,0.00,2.00,318.29
2021-04-22-US-SJC-1,Pixel4,1303160607446,37.3346033081,-121.8994176045,56.87,357.45,1.80,0.00,3.83,311.70
2021-04-22-US-SJC-1,Pixel4,1303160608446,37.3346360484,-121.8993804942,56.86,358.45,1.80,0.00,5.73,315.72
2021-04-22-US-SJC-1,Pixel4,1303160609446,37.3346790177,-121.8993199428,56.75,359.45,1.80,0.00,8.04,322.23
2021-04-22-US-SJC-1,Pixel4,1303160610446,37.3347281104,-121.8992354354,56.48,360.45,1.80,0.00,9.80,326.09
2021-04-22-US-SJC-1,Pixel4,1303160611446,37.3347780294,-121.8991407660,56.33,361.45,1.80,0.00,10.08,327.85
2021-04-22-US-SJC-1,Pixel4,1303160612446,37.3348260684,-121.8990439649,56.23,362.45,1.80,0.00,9.98,329.15
2021-04-22-US-SJC-1,Pixel4,1303160613446,37.3348716904,-121.8989461841,56.02,363.45,2.25,0.00,9.93,330.80
2021-04-22-US-SJC-1,Pixel4,1303160614446,37.3349156168,-121.8988485621,55.73,364.45,2.80,0.00,10.00,330.25
2021-04-22-US-SJC-1,Pixel4,1303160615446,37.3349617535,-121.8987504975,55.34,365.45,2.80,0.00,10.34,329.99
2021-04-22-US-SJC-1,Pixel4,1303160616446,37.3350107458,-121.8986399767,55.31,366.45,4.73,0.00,11.85,332.54
2021-04-22-US-SJC-1,Pixel4,1303160617446,37.3350626400,-121.8985138738,55.29,367.45,7.69,0.00,13.09,332.75
2021-04-22-US-SJC-1,Pixel4,1303160618446,37.3351177924,-121.8983844875,55.28,368.45,8.40,0.00,12.74,331.05
2021-04-22-US-SJC-1,Pixel4,1303160619446,37.3351693620,-121.8982698405,55.26,369.45,8.30,0.00,10.45,330.60
2021-04-22-US-SJC-1,Pixel4,1303160620446,37.3352098639,-121.8981808103,55.21,370.45,13.51,0.00,7.50,330.75
2021-04-22-US-SJC-1,Pixel4,1303160621446,37.3352354861,-121.8981234934,55.22,371.45,19.80,0.00,4.05,331.40
2021-04-22-US-SJC-1,Pixel4,1303160622446,37.3352458882,-121.8981000230,55.18,372.45,14.45,0.00,0.99,331.60
2021-04-22-US-SJC-1,Pixel4,1303160623446,37.3352470556,-121.8980979172,55.18,373.45,8.10,0.00,0.05,331.60
2021-04-22-US-SJC-1,Pixel4,1303160624446,37.3352472074,-121.8980980217,55.19,374.45,8.00,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160625446,37.3352472117,-121.8980980217,55.19,375.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160626446,37.3352472150,-121.8980980217,55.19,376.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160627446,37.3352472167,-121.8980980217,55.19,377.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160628446,37.3352472183,-121.8980980217,55.19,378.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160629446,37.3352472200,-121.8980980200,55.19,379.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160630446,37.3352472200,-121.8980980183,55.18,380.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160631446,37.3352472200,-121.8980980174,55.19,381.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160632446,37.3352472217,-121.8980980159,55.19,382.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160633446,37.3352472217,-121.8980980150,55.18,383.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160634446,37.3352472233,-121.8980980133,55.18,384.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160635446,37.3352472233,-121.8980980117,55.18,385.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160636446,37.3352472241,-121.8980980117,55.18,386.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160637446,37.3352472250,-121.8980980100,55.18,387.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160638446,37.3352472250,-121.8980980083,55.18,388.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160639446,37.3352472267,-121.8980980067,55.18,389.45,7.90,0.00,0.00,331.60
2021-04-22-US-SJC-1,Pixel4,1303160640446,37.3352472267,-121.8980980050,55.18,390.45,7.90,0.00,0.00,331.60
