collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
2021-04-29-US-SJC-2,Pixel4,1303758645435,6,8,GAL_E5A,1303758644351728020,-28323465.255,2287732.15,8321104.058,-833.497,-52.186,-2823.823,1801745.368,-0.002,25047331.682,1.499,-2365.107,11.644,7.317
2021-04-29-US-SJC-2,Pixel4,1303758645435,6,11,GAL_E1,1303758644358761302,5831816.249,-20544529.381,20477327.545,726.035,1928.584,1729.216,1810534.364,-0.013,22938806.783,7.195,-231.429,4.25,3.514
2021-04-29-US-SJC-2,Pixel4,1303758645435,1,30,GPS_L5,1303758644355639276,78692.835,-25718607.584,-6067219.367,490.099,712.364,-3008.512,-125769.513,-0.002,23874766.631,3.598,-2375.008,14.446,8.008
2021-04-29-US-SJC-2,Pixel4,1303758645435,1,1,GPS_L5,1303758644353765416,14080259.444,-3892148.09,21915377.876,553.549,2784.992,170.995,210750.998,-0.004,24436535.727,1.199,-2375.008,13.336,16.049
2021-04-29-US-SJC-2,Pixel4,1303758645435,3,16,GLO_G1,1303758644355519877,9858739.246,-23375071.398,-3280541.39,-279.892,372.478,-3509.78,-4327.654,-0.0,23910561.551,10.493,1123.398,10.005,17.114
2021-04-29-US-SJC-2,Pixel4,1303758645435,1,13,GPS_L1,1303758644358267180,-22779286.75,-13504834.486,-2964027.711,429.784,-61.06,-3153.389,37749.87,0.002,23086940.832,7.195,0.0,6.099,5.434
2021-04-29-US-SJC-2,Pixel4,1303758645435,6,2,GAL_E5A,1303758644355235048,-14382835.911,-8338501.436,24484994.066,1508.212,-1941.112,226.089,64647.863,0.001,23995951.137,3.298,-2365.107,6.32,2.964
2021-04-29-US-SJC-2,Pixel4,1303758645435,6,25,GAL_E1,1303758644354185557,1461527.589,-22771045.918,18859798.7,1096.92,-1543.397,-1948.245,-159597.025,-0.0,24310580.624,4.797,-231.429,3.727,3.023
2021-04-29-US-SJC-2,Pixel4,1303758645435,1,17,GPS_L1,1303758644364738833,-1345614.211,-16069062.245,21530489.83,2453.542,944.88,876.164,130238.671,0.003,21146788.072,3.897,0.0,3.542,2.918
2021-04-29-US-SJC-2,Pixel4,1303758645435,1,15,GPS_L1,1303758644356250145,-26264856.005,-2578762.496,3999962.843,-463.331,-457.734,-3025.269,-45813.416,0.001,23691632.712,5.096,0.0,6.388,6.602
